epoch,train_loss,val_loss
0,45.78459548950195,28.65906524658203
1,45.355167388916016,28.40605354309082
2,44.9181022644043,28.11963653564453
3,44.48258590698242,27.82535171508789
4,44.0494499206543,27.521997451782227
5,43.62068176269531,27.214679718017578
6,43.20326614379883,26.915225982666016
7,42.7983283996582,26.630020141601562
8,42.390167236328125,26.352497100830078
9,41.983436584472656,26.07501220703125
10,41.57755661010742,25.794754028320312
11,41.17328643798828,25.51172637939453
12,40.772281646728516,25.225669860839844
13,40.366920471191406,24.939849853515625
14,39.95813751220703,24.651123046875
15,39.54553985595703,24.36129379272461
16,39.12494659423828,24.067399978637695
17,38.69554901123047,23.76902198791504
18,38.25661849975586,23.466224670410156
19,37.812461853027344,23.159088134765625
20,37.36609649658203,22.847702026367188
21,36.9200439453125,22.531375885009766
22,36.46847152709961,22.210979461669922
23,36.01496124267578,21.886829376220703
24,35.55643081665039,21.558818817138672
25,35.09358596801758,21.226810455322266
26,34.630001068115234,20.89093780517578
27,34.159481048583984,20.554000854492188
28,33.681365966796875,20.21469497680664
29,33.197174072265625,19.872848510742188
30,32.705631256103516,19.526546478271484
31,32.20655059814453,19.17583465576172
32,31.699697494506836,18.820781707763672
33,31.18507957458496,18.46146011352539
34,30.662389755249023,18.097970962524414
35,30.13202476501465,17.73044776916504
36,29.594432830810547,17.359039306640625
37,29.04874038696289,16.983869552612305
38,28.495073318481445,16.605064392089844
39,27.934200286865234,16.222789764404297
40,27.366329193115234,15.836479187011719
41,26.791683197021484,15.446040153503418
42,26.210521697998047,15.052570343017578
43,25.623092651367188,14.65552806854248
44,25.029428482055664,14.255699157714844
45,24.430150985717773,13.853597640991211
46,23.82564353942871,13.449544906616211
47,23.216299057006836,13.043830871582031
48,22.60247802734375,12.635900497436523
49,21.984495162963867,12.227005004882812
50,21.363061904907227,11.817525863647461
51,20.738489151000977,11.4076509475708
52,20.111526489257812,10.996479034423828
53,19.482797622680664,10.585954666137695
54,18.85293960571289,10.176528930664062
55,18.222415924072266,9.76843547821045
56,17.5920467376709,9.360883712768555
57,16.962671279907227,8.955802917480469
58,16.33466148376465,8.553750991821289
59,15.70872974395752,8.155261993408203
60,15.085244178771973,7.760883331298828
61,14.464672088623047,7.3711652755737305
62,13.848312377929688,6.986670970916748
63,13.237565994262695,6.60795259475708
64,12.633391380310059,6.235585689544678
65,12.036834716796875,5.870143890380859
66,11.448860168457031,5.512200832366943
67,10.87023639678955,5.162353515625
68,10.301694869995117,4.821122169494629
69,9.744524002075195,4.488786220550537
70,9.199210166931152,4.166049003601074
71,8.667081832885742,3.852834463119507
72,8.149162292480469,3.5504610538482666
73,7.646087646484375,3.2579522132873535
74,7.158846855163574,2.9771432876586914
75,6.688241481781006,2.7085447311401367
76,6.235054969787598,2.4525790214538574
77,5.800182342529297,2.2096288204193115
78,5.383918285369873,1.9799466133117676
79,4.986996650695801,1.7638206481933594
80,4.609999179840088,1.5615050792694092
81,4.253401279449463,1.3731874227523804
82,3.917505979537964,1.1989874839782715
83,3.6025235652923584,1.0389562845230103
84,3.308567762374878,0.8930740356445312
85,3.0356099605560303,0.7608819603919983
86,2.7833681106567383,0.642288327217102
87,2.5515689849853516,0.5374159216880798
88,2.33998703956604,0.4459349513053894
89,2.1481640338897705,0.3674003481864929
90,1.9754559993743896,0.30138248205184937
91,1.821066975593567,0.24732522666454315
92,1.6841448545455933,0.20460674166679382
93,1.5637339353561401,0.172520712018013
94,1.458452820777893,0.15032652020454407
95,1.3675674200057983,0.13722825050354004
96,1.289859414100647,0.13238461315631866
97,1.2246074676513672,0.13492241501808167
98,1.1702420711517334,0.1439238041639328
99,1.125641107559204,0.15848593413829803
100,1.0896239280700684,0.1777905374765396
101,1.0610212087631226,0.20094601809978485
102,1.038706660270691,0.2270863652229309
103,1.0216261148452759,0.25536873936653137
104,1.0087790489196777,0.28500717878341675
105,0.9992535710334778,0.3152760863304138
106,0.9923199415206909,0.3455158472061157
107,0.9872516393661499,0.3751433193683624
108,0.9833505153656006,0.40365079045295715
109,0.9800919890403748,0.43060946464538574
110,0.9770490527153015,0.4556730389595032
111,0.9738934636116028,0.47861745953559875
